time,city,state,shape,duration,summary,posted,lat,lon
10/09/2008 21:46,Irvine,CA,Disk,00:45,Extended Duration of UFO Sighting  ((NUFORC Note:  Sighting caused by model airplane.  PD)),10/31/2008,33.6839473,-117.7946942
10/09/2008 01:00,Santa Maria,CA,Other,15seconds,"An od shaped object with lights along the bottom outline, that glided at high speed, yet disappeaered instantlly,",10/31/2008,34.9530337,-120.4357191
10/08/2008 21:52,Midway City,CA,Triangle,36 minutes,"crazy lights moving in a triangluar pattern acrost the sky, one of them split into 2 and streaked acrost the sky.",10/31/2008,33.7446861,-117.9863236
10/08/2008 21:00,Ukiah,CA,Light,2 weeks,"""Bright-Star or Something Else""!  ((NUFORC Note:  Probable star.  PD))",10/31/2008,39.1501709,-123.2077831
10/08/2008 04:00,San Ramon,CA,Cylinder,1 hr 58 min,3 Bright Lights that were in perfect formation in the early hours of morning rapidly moving caught my eye!!,10/31/2008,37.7799273,-121.9780153
10/07/2008 19:30,San Francisco,CA,Unknown,30 minutes,"bright white light in sky off Ocean Beach, San Francisco, CA changed color to red and moved slowly North",10/31/2008,37.7749295,-122.4194155
10/05/2008 19:29,Castro Valley,CA,Circle,5 minutes,Perfect circular bright light over S.F. East Bay evening of Sunday October  5th,10/31/2008,37.6940973,-122.0863522
10/04/2008 19:00,Riverside,CA,Light,5 min,My wife pointed out 4 lights high up in the sky.,10/31/2008,33.9533487,-117.3961564
10/04/2008 04:30,Woodland,CA,Light,1 miute,two white lights speeding at a supersonic speed in a straight line away from each other,01/10/2009,38.6785157,-121.7732971
10/02/2008 22:46,Oakland,CA,Light,seconds,White light over San Francisco Bay observed from Downtown Oakland,10/31/2008,37.8043637,-122.2711137
10/02/2008 05:45,Carlsbad,CA,Light,3-5mins.,"10/02/08 just before sunrise, dark skies. Hovering white light which turned to blinking blue & red. Lasted 5 mins long.",10/31/2008,33.1580933,-117.3505939
10/01/2008 22:45,Sunnyvale,CA,Other,20 seconds,flashing object with erratic motion,10/31/2008,37.36883,-122.0363496
10/01/2008 20:00,Cabazon,CA,Light,20 min,"hi, last night on oct 1, 2008 i saw 2 star sized objects that went extremely fast in the night sky in so.calif.(cabazon) at about 8:00p",10/31/2008,33.9175154,-116.7872399
09/29/2008 22:00,Santa Maria,CA,Triangle,30 min,"3 objects flying over Santa Maria, Ca",10/31/2008,34.9530337,-120.4357191
09/29/2008 21:00,Woodside,CA,Triangle,few minutes,"Black triangular-shaped craft, moving very slowly 200 yards above our house; weooo, weooo, weooo sound; huge yellow beam in front.",10/31/2008,37.4299388,-122.2538557
09/29/2008 17:00,Felton,CA,Formation,2 minutes,I've never seen anything like it before.,10/31/2008,37.0513374,-122.0732973
09/29/2008 07:00,Paramount,CA,Triangle,5 min,2 flying shapes over los angeles witnessed by father and son,10/31/2008,33.8894598,-118.1597911
